,name,upjong,address_x,category,rating,평점_건수,평점_합계,평점_평균,평점_표준편차,Column1,address_y,Latitude,Longitude,상태
3501,효재마트,편의점,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-9,안덕면,5.0,10.0,44.5,4.45,0.7245688373094717,1168828.0,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-9,33.23378,126.3115,정좌표
3502,지에스25안덕서광점,편의점,제주특별자치도 서귀포시 안덕면 중산간서로 1882,안덕면,5.0,63.0,276.5,4.388888888888889,0.8054474034431185,1168848.0,제주특별자치도 서귀포시 안덕면 중산간서로 1882,33.28923,126.322,정좌표
3503,치치퐁,커피숍,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-62,안덕면,1.0,1.0,1.0,1.0,,1168980.0,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-62,33.23525,126.3134,정좌표
3504,씨유제주화순점,과자점,제주특별자치도 서귀포시 안덕면 화순로 103,안덕면,4.5,31.0,132.0,4.258064516129032,0.7513428837969106,1168982.0,제주특별자치도 서귀포시 안덕면 화순로 103,33.24648,126.3353,정좌표
3505,써니하우스,기타,제주특별자치도 서귀포시 안덕면 산방로 212,안덕면,4.0,23.0,100.5,4.369565217391305,0.771913079544285,1169054.0,제주특별자치도 서귀포시 안덕면 산방로 212,33.23643,126.3126,정좌표
3506,도희네해장국,기타 휴게음식점,제주특별자치도 서귀포시 안덕면 중산간서로 1957,안덕면,5.0,206.0,996.5,4.837378640776699,0.42370137013438275,1169438.0,제주특별자치도 서귀포시 안덕면 중산간서로 1957,33.28987,126.3143,정좌표
3507,씨유서귀평화로점,편의점,제주특별자치도 서귀포시 안덕면 한창로 273,안덕면,2.0,10.0,39.5,3.95,0.9264628073124865,1169876.0,제주특별자치도 서귀포시 안덕면 한창로 273,33.28438,126.3536,정좌표
3508,용머리편의점,일반조리판매,제주특별자치도 서귀포시 안덕면 사계남로216번길 28,안덕면,5.0,46.0,200.0,4.3478260869565215,0.8489834785553267,1169896.0,제주특별자치도 서귀포시 안덕면 사계남로216번길 28,33.23379,126.3108,정좌표
3509,더온,커피숍,"제주특별자치도 서귀포시 안덕면 일주서로 1613-54, 1층",안덕면,5.0,1.0,5.0,5.0,,1169990.0,"제주특별자치도 서귀포시 안덕면 일주서로 1613-54, 1층",33.25143,126.3434,정좌표
3510,씨유제주신화빌라스점,기타 휴게음식점,"제주특별자치도 서귀포시 안덕면 신화역사로304번길 139, 1층 (제주신화빌라스일본테라스)",안덕면,4.0,42.0,188.5,4.488095238095238,0.5464753496560018,1169992.0,"제주특별자치도 서귀포시 안덕면 신화역사로304번길 139, 1층 (제주신화빌라스일본테라스)",33.29987,126.3226,정좌표
3511,지에스(GS)25뉴제주동광점,편의점,제주특별자치도 서귀포시 안덕면 신화역사로 493,안덕면,5.0,8.0,36.0,4.5,0.4629100498862757,1170086.0,제주특별자치도 서귀포시 안덕면 신화역사로 493,33.31032,126.3402,정좌표
3512,씨유서귀감산리점,일반조리판매,"제주특별자치도 서귀포시 안덕면 일주서로 1499, 1층",안덕면,4.0,8.0,31.0,3.875,0.6943650748294137,1170106.0,"제주특별자치도 서귀포시 안덕면 일주서로 1499, 1층",33.25945,126.3554,정좌표
