Column2,name,upjong,address_x,category,평점_건수,평점_합계,평점_평균,평점_표준편차,Latitude,Longitude,상태
671,더블루,한식,제주특별자치도 제주시 탑동로 66 (삼도이동),제주시,26,122,4.692307692,0.470678724,33.5185924,126.5175016,정좌표
672,해양호,횟집,"제주특별자치도 제주시 일주서로 7620 (이호이동,(연도로351))",제주시,13,58,4.461538462,0.748930862,33.4949773,126.4606863,정좌표
673,2도비어제주연동점,식육(숯불구이),제주특별자치도 제주시 신광로10길 22 (연동),제주시,6,21,3.5,1.264911064,33.4840498,126.487359,정좌표
674,제주주민센터,한식,"제주특별자치도 제주시 무근성길 46 (삼도이동,(무근성로80))",제주시,5,23.5,4.7,0.670820393,33.5148351,126.5188896,정좌표
675,어상,횟집,"제주특별자치도 제주시 수덕9길 82-7, 1층 (노형동)",제주시,3,14.5,4.833333333,0.288675135,33.4834095,126.4698673,정좌표
676,육도담,식육(숯불구이),제주특별자치도 제주시 도남로 59 (도남동),제주시,134,654,4.880597015,0.347813279,33.4950311,126.5277256,정좌표
677,삼조삼계탕,식육(숯불구이),"제주특별자치도 제주시 서광로13길 12, 1층 (삼도일동)",제주시,19,88.5,4.657894737,0.52843142,33.5010763,126.5179822,정좌표
678,방파제식당,한식,제주특별자치도 제주시 조천읍 조천북1길 35-6,제주시,12,57,4.75,0.452267017,33.5418481,126.634692,정좌표
679,시청골목집,한식,제주특별자치도 제주시 서광로32길 39-3 (이도이동),제주시,10,49,4.9,0.210818511,33.4975602,126.530245,정좌표
680,고기마을,한식,"제주특별자치도 제주시 진남로 21-1, 1층 (화북일동)",제주시,1,5,5,,33.5230714,126.5627808,정좌표
681,제주돈갈매기,식육(숯불구이),"제주특별자치도 제주시 천수로8길 3, 1층 (일도이동)",제주시,7,33.5,4.785714286,0.267261242,33.5027216,126.5431394,정좌표
682,용연,횟집,제주특별자치도 제주시 동한두기길 35 (용담일동),제주시,31,136,4.387096774,1.222767881,33.5165125,126.5152403,정좌표
683,그램그램연동점,한식,"제주특별자치도 제주시 신대로20길 56, 1층 (연동)",제주시,6,18,3,1.923538406,33.4839009,126.4904548,정좌표
684,추가네,탕류(보신용),제주특별자치도 제주시 서사로 176 (오라일동),제주시,15,68,4.533333333,0.549891764,33.4966233,126.5196281,정좌표
685,국수천하,한식,제주특별자치도 제주시 서사로 174 (오라일동),제주시,13,59.5,4.576923077,0.640512615,33.4967495,126.5196303,정좌표
686,신성할망,한식,제주특별자치도 제주시 신대로7길 23 (연동),제주시,187,883.5,4.72459893,0.861565357,33.4919294,126.4992174,정좌표
687,제라한,한식,제주특별자치도 제주시 정존1길 33 (노형동),제주시,60,241,4.016666667,1.248615052,33.483304,126.4704544,정좌표
688,번영가든,한식,제주특별자치도 제주시 번영로 553 (봉개동),제주시,3,14,4.666666667,0.577350269,33.4876812,126.6000458,정좌표
689,제주텐동,기타,"제주특별자치도 제주시 중앙로 214, 2~4층 (이도이동)",제주시,107,450,4.205607477,1.510893262,33.496228,126.5513995,정좌표
690,한상,한식,"제주특별자치도 제주시 정원로 55, 1층 (노형동)",제주시,2,8,4,0.707106781,33.4803463,126.4777974,정좌표
691,명가돈까스,경양식,"제주특별자치도 제주시 태성로2길 30-1, 1층 (일도이동)",제주시,5,24,4.8,0.447213595,33.5007134,126.5475626,정좌표
692,수구레해장국2호점,한식,제주특별자치도 제주시 비월길 7 (연동),제주시,1,4,4,,33.4849529,126.4974183,정좌표
693,도두어부의밥상,횟집,"제주특별자치도 제주시 서해안로 181, 1층 (도두일동)",제주시,67,282,4.208955224,1.111746012,33.5053632,126.4677376,정좌표
694,털보,한식,제주특별자치도 제주시 조천읍 신북로 554,제주시,58,245,4.224137931,1.056194816,33.5408887,126.6688789,정좌표
695,명물,한식,"제주특별자치도 제주시 탑동로11길 2-1, 1~2층 (삼도이동)",제주시,10,40,4,0.745355992,33.5166654,126.517019,정좌표
696,현지통아귀찜,한식,"제주특별자치도 제주시 설촌로 12, 1층 (삼양이동)",제주시,8,39.5,4.9375,0.176776695,33.5224988,126.5817017,정좌표
697,어장관리,식육(숯불구이),제주특별자치도 제주시 귀아랑길 23 (연동),제주시,30,122.5,4.083333333,0.841625412,33.4914457,126.4976203,정좌표
698,조박사,횟집,"제주특별자치도 제주시 다랑곶길 10 (노형동,제동프린스빌102(다랑굿4로14))",제주시,30,140.5,4.683333333,0.533099805,33.4879309,126.4808146,정좌표
699,화사랑,한식,제주특별자치도 제주시 서광로32길 10 (이도이동),제주시,9,39.5,4.388888889,0.485912658,33.4995797,126.5281953,정좌표
700,골목집갈비,한식,제주특별자치도 제주시 서사로18길 19 (삼도일동),제주시,1,4,4,,33.5018635,126.5177708,정좌표
701,어장군,한식,제주특별자치도 제주시 신대로 72 (연동),제주시,32,144,4.5,0.695608344,33.4909506,126.4962656,정좌표
702,닭바리,한식,제주특별자치도 제주시 서광로32길 17 (이도이동),제주시,7,31.5,4.5,0.645497224,33.4992344,126.5287241,정좌표
703,삼무국수,한식,"제주특별자치도 제주시 삼무로3길 46-1, 1층 (연동)",제주시,770,3358.5,4.361688312,1.07308956,33.490567,126.491045,정좌표
704,비비큐용담점,한식,제주특별자치도 제주시 용담로 92 (용담이동),제주시,10,46.5,4.65,0.668746755,33.5119258,126.5124267,정좌표
705,연동길,한식,"제주특별자치도 제주시 은남2길 23 (연동,제1호)",제주시,10,34,3.4,1.646545205,33.4881035,126.4934516,정좌표
