name,upjong,address,category,rat_count,rat_avg,Latitude,Longitude
어멍국수,한식,제주특별자치도 서귀포시 안덕면 화순로 101,안덕면,6,4.666666667,33.2465587,126.335771
서광우리집식당,한식,제주특별자치도 서귀포시 안덕면 녹차분재로59번길 8,안덕면,29,4.862068966,33.2905253,126.3006556
바당칼국수,한식,제주특별자치도 서귀포시 안덕면 형제해안로 22,안덕면,77,4.149350649,33.2279732,126.3042898
난드르깡통구이,한식,제주특별자치도 서귀포시 안덕면 대평감산로 14,안덕면,73,4.397260274,33.2361322,126.3670047
산드레,기타,제주특별자치도 서귀포시 안덕면 녹차분재로 193,안덕면,15,3.766666667,33.2923161,126.2996588
마린68,한식,제주특별자치도 서귀포시 안덕면 사계남로 197,안덕면,6,4.75,33.2308153,126.3083575
까사디노아,경양식,제주특별자치도 서귀포시 안덕면 대평로 42,안덕면,92,4.114130435,33.2374039,126.3631949
블루오션,기타,제주특별자치도 서귀포시 안덕면 사계남로 102 12층,안덕면,1,5,33.230173,126.3018116
페를로,경양식,제주특별자치도 서귀포시 안덕면 덕수회관로74번길 33 1층,안덕면,382,4.506544503,33.2566272,126.3065103
빽가한우불고기,한식,제주특별자치도 서귀포시 안덕면 덕수회관로61번길 40 1층,안덕면,38,4.513157895,33.2527415,126.3096582
돈키호테,한식,제주특별자치도 서귀포시 안덕면 화순로 82 1층,안덕면,3,5,33.247413,126.3373621
산방산우리동네,한식,제주특별자치도 서귀포시 안덕면 산방로 289,안덕면,47,4.744680851,33.2386241,126.3146142
뼈해장순대해장돈풍년,한식,제주특별자치도 서귀포시 안덕면 사계남로21번길 13,안덕면,1,5,33.2299383,126.2944628
고할망네,한식,제주특별자치도 서귀포시 안덕면 사계남로 159-1,안덕면,39,4.692307692,33.2285158,126.3070598
광성식당,한식,제주특별자치도 서귀포시 안덕면 화순해안로106번길 12,안덕면,53,4.632075472,33.2379287,126.3366308
덕수아이흑돼지,한식,제주특별자치도 서귀포시 안덕면 덕수회관로 88,안덕면,32,4.65625,33.2546732,126.3078152
서광로타리,한식,제주특별자치도 서귀포시 안덕면 화순서서로 492-9,안덕면,29,4.327586207,33.2859356,126.3031716
쌍둥이기사식당,한식,제주특별자치도 서귀포시 안덕면 동광로 164,안덕면,3,4.166666667,33.3104382,126.3413657
호가,중국식,제주특별자치도 서귀포시 안덕면 화순중앙로 64,안덕면,27,4.5,33.2464921,126.335916
우와국수,한식,제주특별자치도 서귀포시 안덕면 한창로 146,안덕면,358,4.716480447,33.2903783,126.3538589
알동네집화순점,한식,제주특별자치도 서귀포시 안덕면 화순로 6 1층,안덕면,436,4.819954128,33.2459446,126.3313846
