,사업장명,업종구분대분류,업종구분소분류,소재지전체주소,naver_map_url
1640,복건배,일반음식점,호프/통닭,제주특별자치도 서귀포시 서귀동 214 ,https://pcmap.place.naver.com/restaurant/1862742245/review/visitor#
1643,삼무뚝배기,일반음식점,한식,제주특별자치도 서귀포시 서귀동 31-12번지 ,https://pcmap.place.naver.com/restaurant/11655448/review/visitor#
1644,제주돈부자,일반음식점,한식,제주특별자치도 서귀포시 서호동 1471-1번지 ,https://pcmap.place.naver.com/restaurant/32164908/review/visitor#
1645,바싹부대찌개,일반음식점,기타,제주특별자치도 서귀포시 성산읍 고성리 305-4번지 ,https://pcmap.place.naver.com/restaurant/36873864/review/visitor#
1647,성산일출봉청운식당,일반음식점,일식,제주특별자치도 서귀포시 성산읍 성산리 192-2 ,https://pcmap.place.naver.com/restaurant/16948056/review/visitor#
1648,춘미향,일반음식점,한식,제주특별자치도 서귀포시 안덕면 사계리 2820-4번지 ,https://pcmap.place.naver.com/restaurant/33060859/review/visitor#
1651,명경식당,일반음식점,한식,제주특별자치도 서귀포시 안덕면 화순리 322-5 외1필지 ,https://pcmap.place.naver.com/restaurant/1652540292/review/visitor#
1652,상아식당,일반음식점,한식,제주특별자치도 서귀포시 서귀동 432-8번지 ,https://pcmap.place.naver.com/restaurant/16966720/review/visitor#
1654,자존심전문음식점,일반음식점,기타,제주특별자치도 서귀포시 대정읍 하모리 1549번지 ,https://pcmap.place.naver.com/restaurant/17066177/review/visitor#
1655,고기정류장,일반음식점,한식,제주특별자치도 서귀포시 중문동 1493-1번지 ,https://pcmap.place.naver.com/restaurant/1105151108/review/visitor#
1656,엄니식당,일반음식점,한식,제주특별자치도 서귀포시 대정읍 하모리 841-6번지 ,https://pcmap.place.naver.com/restaurant/16938905/review/visitor#
1657,머거본말고기식당,일반음식점,호프/통닭,제주특별자치도 서귀포시 서귀동 202-13번지 ,https://pcmap.place.naver.com/restaurant/20412122/review/visitor#
1658,수망손칼국수,일반음식점,한식,제주특별자치도 서귀포시 남원읍 수망리 443-1번지 ,https://pcmap.place.naver.com/restaurant/30941236/review/visitor#
1659,통낭식당,일반음식점,한식,제주특별자치도 서귀포시 서호동 1469-1번지 ,https://pcmap.place.naver.com/restaurant/16902685/review/visitor#
1661,서울훈이네식당,일반음식점,한식,제주특별자치도 서귀포시 성산읍 성산리 230-14번지 ,https://pcmap.place.naver.com/restaurant/21104267/review/visitor#
1662,불란서찐빵무지개점,일반음식점,일식,제주특별자치도 서귀포시 성산읍 성산리 190 ,https://pcmap.place.naver.com/restaurant/1260530300/review/visitor#
1663,이조삼계탕,일반음식점,통닭(치킨),제주특별자치도 서귀포시 토평동 1287-3번지 ,https://pcmap.place.naver.com/restaurant/16923387/review/visitor#
1664,돌구들장오겹살,일반음식점,한식,제주특별자치도 서귀포시 대정읍 하모리 820-23번지 ,https://pcmap.place.naver.com/restaurant/16935322/review/visitor#
