Column1,사업장명,사업장명add,업종구분대분류,업종구분소분류,주소,naver_map_url
3392,모심청국장,모심청국장제주특별자치도 제주시 신대로10길 17 (연동),일반음식점,한식,제주특별자치도 제주시 신대로10길 17 (연동),
3393,태선갈비일도점,태선갈비일도점제주특별자치도 제주시 연삼로 545-1,일반음식점,한식,제주특별자치도 제주시 연삼로 545-1,
3394,도르멍,도르멍제주특별자치도 제주시 조천읍 중산간동로 1305,일반음식점,한식,제주특별자치도 제주시 조천읍 중산간동로 1305,
3395,우도회초밥,우도회초밥제주특별자치도 제주시 우도면 우도해안길 336,일반음식점,일식,제주특별자치도 제주시 우도면 우도해안길 336,
3396,7번가피자제주삼화점,7번가피자제주삼화점제주특별자치도 제주시 일주동로 394 (삼양이동),일반음식점,패스트푸드,제주특별자치도 제주시 일주동로 394 (삼양이동),
3397,천안삼거리,천안삼거리제주특별자치도 제주시 조천읍 비자림로 1065,일반음식점,한식,제주특별자치도 제주시 조천읍 비자림로 1065,
3398,우리뼈감자탕,우리뼈감자탕제주특별자치도 제주시 평전2길 23,일반음식점,한식,제주특별자치도 제주시 평전2길 23,
3399,네네치킨노형점,네네치킨노형점제주특별자치도 제주시 원노형로 50,일반음식점,한식,제주특별자치도 제주시 원노형로 50,
3400,세화족발,세화족발제주특별자치도 제주시 구좌읍 해맞이해안로 1460,일반음식점,경양식,제주특별자치도 제주시 구좌읍 해맞이해안로 1460,
3401,연안식당,연안식당제주특별자치도 제주시 신대로 169,일반음식점,한식,제주특별자치도 제주시 신대로 169,
3402,일기일회,일기일회제주특별자치도 제주시 광양10길 15,일반음식점,통닭(치킨),제주특별자치도 제주시 광양10길 15,
3403,좋은하루,좋은하루제주특별자치도 제주시 신설로9길 35,일반음식점,한식,제주특별자치도 제주시 신설로9길 35,
3404,이제막걸리마실때가됐다 수월,이제막걸리마실때가됐다 수월제주특별자치도 제주시 일주동로 379,일반음식점,분식,제주특별자치도 제주시 일주동로 379,
3405,라비에,라비에제주특별자치도 제주시 신성로13길 17,일반음식점,정종/대포집/소주방,제주특별자치도 제주시 신성로13길 17,
3406,탐앤탐스칠성로점,탐앤탐스칠성로점제주특별자치도 제주시 중앙로7길 9,일반음식점,기타,제주특별자치도 제주시 중앙로7길 9,
3407,모니카옛날통닭,모니카옛날통닭제주특별자치도 제주시 신대로10길 33 (연동),일반음식점,통닭(치킨),제주특별자치도 제주시 신대로10길 33 (연동),
3408,촌장터,촌장터제주특별자치도 제주시 광양13길 10-2 (이도이동,일반음식점,한식,제주특별자치도 제주시 광양13길 10-2 (이도이동,
