,name,upjong,address,category,rat_count,rat_avg,Latitude,Longitude
89,청아돈,한식,제주특별자치도 제주시 애월읍 애월로11길 14,애월읍,12,4.291666667,33.463696399999996,126.31800990000002
90,초원도야지,기타,"제주특별자치도 제주시 애월읍 하소로 14, 1층",애월읍,12,4.25,33.478706800000005,126.39941040000001
91,제주김만복애월점,기타,"제주특별자치도 제주시 애월읍 애월해안로 255, 2층",애월읍,1001,4.058441558,33.4782235,126.3665625
92,야미부대찌게하귀점,한식,"제주특별자치도 제주시 애월읍 하귀동남3길 7, 1층",애월읍,16,4.40625,33.4835358,126.4131748
93,하귀청마루,한식,제주특별자치도 제주시 애월읍 항몽로 71-1,애월읍,35,4.385714286,33.477569800000005,126.4089878
94,잇칸시타,일식,"제주특별자치도 제주시 애월읍 신엄안2길 54-1, 1동 1층",애월읍,328,4.5426829269999995,33.4770905,126.3699554
95,애월성,중국식,제주특별자치도 제주시 애월읍 애월로7길 2,애월읍,31,3.64516129,33.464742699999995,126.3197753
96,송이,한식,제주특별자치도 제주시 애월읍 곽지8길 12-1,애월읍,5,4.7,33.4487082,126.3086558
97,청수냉면,한식,제주특별자치도 제주시 애월읍 하귀9길 12,애월읍,23,4.543478261000001,33.487145299999995,126.40934840000001
98,모리노아루요,한식,"제주특별자치도 제주시 애월읍 하소로 769-58, 아동 1층",애월읍,67,3.798507463,33.418384,126.40012150000001
99,호커센터,한식,제주특별자치도 제주시 애월읍 애월로11길 25-2,애월읍,559,4.92039356,33.4669387,126.32036540000001
100,해삼궁,한식,"제주특별자치도 제주시 애월읍 평화로 1976, 1층",애월읍,36,4.402777778,33.400203000000005,126.3798207
101,성안식당,횟집,제주특별자치도 제주시 애월읍 애월로11길 5,애월읍,26,4.134615385,33.4647956,126.3201572
102,애월등대집,한식,"제주특별자치도 제주시 애월읍 애월해안로 56, 1층",애월읍,18,4.944444444,33.467096500000004,126.3203656
103,소길역,일식,"제주특별자치도 제주시 애월읍 소길2길 53, 1층",애월읍,110,4.772727273,33.4419011,126.370287
104,광평도새기촌본점,식육(숯불구이),"제주특별자치도 제주시 애월읍 구엄동3길 64, 1층",애월읍,620,4.744354839,33.479268499999996,126.38104609999999
105,애월할망네,한식,"제주특별자치도 제주시 애월읍 중산간서로 5632, 1층",애월읍,27,4.12962963,33.4470046,126.3747347
106,고래밥,한식,"제주특별자치도 제주시 애월읍 애월로 93-1, 1층",애월읍,14,4.678571429,33.4649048,126.3174412
107,삼일해장국,한식,제주특별자치도 제주시 애월읍 하귀9길 14,애월읍,88,4.295454545,33.482686300000005,126.415916
108,애월회센터,횟집,"제주특별자치도 제주시 애월읍 신엄9길 72-11, 1층",애월읍,61,4.18852459,33.477355100000004,126.3683507
109,퐁낭집,한식,"제주특별자치도 제주시 애월읍 유수암로 36, 1층",애월읍,6,4.75,33.4395837,126.40260690000001
110,제주애월회관,식육(숯불구이),제주특별자치도 제주시 애월읍 애월로 38,애월읍,182,4.3928571430000005,33.4655339,126.32031129999999
111,낮갈치밤돼지,한식,"제주특별자치도 제주시 애월읍 신엄7길 9, 1층",애월읍,88,4.914772727,33.472592,126.3664905
112,스시애월,일식,"제주특별자치도 제주시 애월읍 애월로9길 50-3, 1층",애월읍,140,4.528571428999999,33.4665125,126.3193173
113,명리동식당애월점,한식,제주특별자치도 제주시 애월읍 애월해안로 384-8,애월읍,119,4.222689076,33.4728044,126.34944469999999
114,디딤팡,한식,"제주특별자치도 제주시 애월읍 장전로 63, 다동 1층",애월읍,1,5.0,33.4619478,126.3295244
115,애월바당국수,한식,"제주특별자치도 제주시 애월읍 애월해안로 34, 1층",애월읍,66,4.272727273,33.4782235,126.3665625
