,사업장명,사업장명add,업종구분대분류,업종구분소분류,주소,naver_map_url
1381,중문착한고기,중문착한고기제주특별자치도 서귀포시 천제연로188번길 2 (중문동),일반음식점,한식,제주특별자치도 서귀포시 천제연로188번길 2 (중문동),https://pcmap.place.naver.com/restaurant/16927921/review/visitor#
1382,꽃피는산골,꽃피는산골제주특별자치도 서귀포시 동홍중앙로 35 (동홍동),일반음식점,한식,제주특별자치도 서귀포시 동홍중앙로 35 (동홍동),https://pcmap.place.naver.com/restaurant/16916069/review/visitor#
1383,제주흑돈세상수라간,제주흑돈세상수라간제주특별자치도 서귀포시 중산간동로 8051 (서홍동),일반음식점,한식,제주특별자치도 서귀포시 중산간동로 8051 (서홍동),https://pcmap.place.naver.com/restaurant/31058985/review/visitor#
1384,부가네얼큰이서홍점,부가네얼큰이서홍점제주특별자치도 서귀포시 중앙로 159-2 (서홍동),일반음식점,호프/통닭,제주특별자치도 서귀포시 중앙로 159-2 (서홍동),https://pcmap.place.naver.com/restaurant/31458555/review/visitor#
1385,메로식당,메로식당제주특별자치도 서귀포시 중정로91번길 16 (서귀동),일반음식점,한식,제주특별자치도 서귀포시 중정로91번길 16 (서귀동),https://pcmap.place.naver.com/restaurant/16896645/review/visitor#
1386,사오정치킨,사오정치킨제주특별자치도 서귀포시 천지로 24 (서귀동),일반음식점,통닭(치킨),제주특별자치도 서귀포시 천지로 24 (서귀동),https://pcmap.place.naver.com/restaurant/16895167/review/visitor#
1387,조은님,조은님제주특별자치도 서귀포시 표선면 표선중앙로90번길 4,일반음식점,호프/통닭,제주특별자치도 서귀포시 표선면 표선중앙로90번길 4,https://pcmap.place.naver.com/restaurant/17085731/review/visitor#
1388,진냉면,진냉면제주특별자치도 서귀포시 남성중로 155 (서홍동),일반음식점,한식,제주특별자치도 서귀포시 남성중로 155 (서홍동),https://pcmap.place.naver.com/restaurant/12805382/review/visitor#
1389,송악산도식후경,송악산도식후경제주특별자치도 서귀포시 대정읍 형제해안로 318,일반음식점,한식,제주특별자치도 서귀포시 대정읍 형제해안로 318,https://pcmap.place.naver.com/restaurant/35734827/review/visitor#
1390,태경식당,태경식당제주특별자치도 서귀포시 남원읍 남조로 578,일반음식점,한식,제주특별자치도 서귀포시 남원읍 남조로 578,https://pcmap.place.naver.com/restaurant/16944752/review/visitor#
1391,체얌,체얌제주특별자치도 서귀포시 일주동로 8705 (서귀동),일반음식점,한식,제주특별자치도 서귀포시 일주동로 8705 (서귀동),https://pcmap.place.naver.com/restaurant/32576704/review/visitor#
1392,바당아나고장어구이,바당아나고장어구이제주특별자치도 서귀포시 솔동산로22번길 16 (서귀동),일반음식점,한식,제주특별자치도 서귀포시 솔동산로22번길 16 (서귀동),https://pcmap.place.naver.com/restaurant/32169306/review/visitor#
1395,독도참치,독도참치제주특별자치도 서귀포시 동문로 62-1 (서귀동),일반음식점,일식,제주특별자치도 서귀포시 동문로 62-1 (서귀동),https://pcmap.place.naver.com/restaurant/13444888/review/visitor#
1396,순정이네,순정이네제주특별자치도 서귀포시 성산읍 고성오조로 87-18,일반음식점,한식,제주특별자치도 서귀포시 성산읍 고성오조로 87-18,https://pcmap.place.naver.com/restaurant/1160025588/review/visitor#
1397,죠스떡볶이제주중문점,죠스떡볶이제주중문점제주특별자치도 서귀포시 천제연로 239 (중문동),일반음식점,호프/통닭,제주특별자치도 서귀포시 천제연로 239 (중문동),https://pcmap.place.naver.com/restaurant/37560731/review/visitor#
1398,순희네,순희네제주특별자치도 서귀포시 대정읍 영서중로 59,일반음식점,한식,제주특별자치도 서귀포시 대정읍 영서중로 59,https://pcmap.place.naver.com/restaurant/1657391784/review/visitor#
1399,텅꼬치성산동남점,텅꼬치성산동남점제주특별자치도 서귀포시 성산읍 고성동서로 51,일반음식점,호프/통닭,제주특별자치도 서귀포시 성산읍 고성동서로 51,https://pcmap.place.naver.com/restaurant/16951674/review/visitor#
1400,쌍둥이기사식당,쌍둥이기사식당제주특별자치도 서귀포시 안덕면 동광로 164,일반음식점,한식,제주특별자치도 서귀포시 안덕면 동광로 164,https://pcmap.place.naver.com/restaurant/21043008/review/visitor#
1401,송가네흑돼지,송가네흑돼지제주특별자치도 서귀포시 중앙로150번길 70 (동홍동),일반음식점,한식,제주특별자치도 서귀포시 중앙로150번길 70 (동홍동),https://pcmap.place.naver.com/restaurant/32165035/review/visitor#
1402,소소한밥상,소소한밥상제주특별자치도 서귀포시 일주동로 8600 (동홍동),일반음식점,한식,제주특별자치도 서귀포시 일주동로 8600 (동홍동),https://pcmap.place.naver.com/restaurant/1054842131/review/visitor#
1403,커리하우스,커리하우스제주특별자치도 서귀포시 동문동로53번길 13 (서귀동),일반음식점,한식,제주특별자치도 서귀포시 동문동로53번길 13 (서귀동),https://pcmap.place.naver.com/restaurant/32708804/review/visitor#
1405,동문빅스타,동문빅스타제주특별자치도 서귀포시 정방로 5 (서귀동),일반음식점,호프/통닭,제주특별자치도 서귀포시 정방로 5 (서귀동),https://pcmap.place.naver.com/restaurant/1669194562/review/visitor#
1406,오델로남원점,오델로남원점제주특별자치도 서귀포시 남원읍 남한로 3,일반음식점,패스트푸드,제주특별자치도 서귀포시 남원읍 남한로 3,https://pcmap.place.naver.com/restaurant/32432636/review/visitor#
1407,중문불광회센타,중문불광회센타제주특별자치도 서귀포시 중문로 11 (중문동),일반음식점,한식,제주특별자치도 서귀포시 중문로 11 (중문동),https://pcmap.place.naver.com/restaurant/1987997023/review/visitor#
1408,명륜진사갈비서귀포점,명륜진사갈비서귀포점제주특별자치도 서귀포시 명동로 4 (서귀동),일반음식점,한식,제주특별자치도 서귀포시 명동로 4 (서귀동),https://pcmap.place.naver.com/restaurant/1033335696/review/visitor#
1409,새서울두루치기,새서울두루치기제주특별자치도 서귀포시 태평로 406 (서귀동),일반음식점,한식,제주특별자치도 서귀포시 태평로 406 (서귀동),https://pcmap.place.naver.com/restaurant/31332009/review/visitor#
1410,한그릇,한그릇제주특별자치도 서귀포시 중문관광로 7 (색달동),일반음식점,한식,제주특별자치도 서귀포시 중문관광로 7 (색달동),https://pcmap.place.naver.com/restaurant/16931917/review/visitor#
1412,옛날국수집,옛날국수집제주특별자치도 서귀포시 성산읍 온평애향로 2,일반음식점,한식,제주특별자치도 서귀포시 성산읍 온평애향로 2,https://pcmap.place.naver.com/restaurant/1223556469/review/visitor#
1413,탐라밸리,탐라밸리제주특별자치도 서귀포시 서호중앙로 85-13 (서호동),일반음식점,한식,제주특별자치도 서귀포시 서호중앙로 85-13 (서호동),https://pcmap.place.naver.com/restaurant/1292642970/review/visitor#
1415,아리랑밀면,아리랑밀면제주특별자치도 서귀포시 서홍로 29,일반음식점,한식,제주특별자치도 서귀포시 서홍로 29,https://pcmap.place.naver.com/restaurant/1599468003/review/visitor#
1418,표선두루치기,표선두루치기제주특별자치도 서귀포시 표선면 표선동서로 257,일반음식점,한식,제주특별자치도 서귀포시 표선면 표선동서로 257,https://pcmap.place.naver.com/restaurant/1954157294/review/visitor#
1419,국수냐국밥이냐,국수냐국밥이냐제주특별자치도 서귀포시 김정문화로 39 (법환동),일반음식점,한식,제주특별자치도 서귀포시 김정문화로 39 (법환동),https://pcmap.place.naver.com/restaurant/16901045/review/visitor#
1420,몬스테라자구리점,몬스테라자구리점제주특별자치도 서귀포시 소암로12번길 7,일반음식점,경양식,제주특별자치도 서귀포시 소암로12번길 7,https://pcmap.place.naver.com/restaurant/1591833482/review/visitor#
1421,미향해장국효돈점,미향해장국효돈점제주특별자치도 서귀포시 효돈로 11 (신효동),일반음식점,한식,제주특별자치도 서귀포시 효돈로 11 (신효동),https://pcmap.place.naver.com/restaurant/33647260/review/visitor#
1424,제주바다애,제주바다애제주특별자치도 서귀포시 신서로 44 (강정동),일반음식점,한식,제주특별자치도 서귀포시 신서로 44 (강정동),https://pcmap.place.naver.com/restaurant/38529580/review/visitor#
1425,호가,호가제주특별자치도 서귀포시 안덕면 화순중앙로 64,일반음식점,중국식,제주특별자치도 서귀포시 안덕면 화순중앙로 64,https://pcmap.place.naver.com/restaurant/36606105/review/visitor#
