,사업장명,사업장명add,업종구분대분류,업종구분소분류,주소,naver_map_url
47,앤드앤드,앤드앤드제주특별자치도 제주시 연동4길 28-16,일반음식점,기타,제주특별자치도 제주시 연동4길 28-16,https://pcmap.place.naver.com/restaurant/1308340997/review/visitor#
49,짱돌,짱돌제주특별자치도 제주시 일주서로 7326,일반음식점,기타,제주특별자치도 제주시 일주서로 7326,https://pcmap.place.naver.com/restaurant/1115253829/review/visitor#
50,인추자커피앤민박,인추자커피앤민박제주특별자치도 제주시 추자면 추자로 20-1,일반음식점,기타,제주특별자치도 제주시 추자면 추자로 20-1,https://pcmap.place.naver.com/restaurant/1729631917/review/visitor#
51,혜안,혜안제주특별자치도 제주시 해안마을10길 39,일반음식점,기타,제주특별자치도 제주시 해안마을10길 39,https://pcmap.place.naver.com/restaurant/1967443628/review/visitor#
52,수빈이네제주밥상,수빈이네제주밥상제주특별자치도 제주시 사라봉7길 31-1,일반음식점,한식,제주특별자치도 제주시 사라봉7길 31-1,https://pcmap.place.naver.com/restaurant/1114896813/review/visitor#
53,안녕하샌,안녕하샌제주특별자치도 제주시 구좌읍 월정3길 53-15,일반음식점,호프/통닭,제주특별자치도 제주시 구좌읍 월정3길 53-15,https://pcmap.place.naver.com/restaurant/1006563695/review/visitor#
56,사랑방포차,사랑방포차제주특별자치도 제주시 한림읍 한림중앙로 14,일반음식점,한식,제주특별자치도 제주시 한림읍 한림중앙로 14,https://pcmap.place.naver.com/restaurant/1205876079/review/visitor#
57,돈삼겹직영5호점,돈삼겹직영5호점제주특별자치도 제주시 신설로9길 37,일반음식점,한식,제주특별자치도 제주시 신설로9길 37,https://pcmap.place.naver.com/restaurant/1088849785/review/visitor#
59,티엔미미,티엔미미제주특별자치도 제주시 연동4길 8,일반음식점,기타,제주특별자치도 제주시 연동4길 8,https://pcmap.place.naver.com/restaurant/1982849089/review/visitor#
61,호자,호자제주특별자치도 제주시 구좌읍 세화8길 7,일반음식점,한식,제주특별자치도 제주시 구좌읍 세화8길 7,https://pcmap.place.naver.com/restaurant/1186764486/review/visitor#
62,장전반점,장전반점제주특별자치도 제주시 애월읍 하소로 373,일반음식점,중국식,제주특별자치도 제주시 애월읍 하소로 373,https://pcmap.place.naver.com/restaurant/1610241095/review/visitor#
64,한림칼국수제주세화점,한림칼국수제주세화점제주특별자치도 제주시 구좌읍 해녀박물관길 33-1,일반음식점,한식,제주특별자치도 제주시 구좌읍 해녀박물관길 33-1,https://pcmap.place.naver.com/restaurant/1844891777/review/visitor#
66,문전성시,문전성시제주특별자치도 제주시 신성로13길 17-1,일반음식점,기타,제주특별자치도 제주시 신성로13길 17-1,https://pcmap.place.naver.com/restaurant/1478968726/review/visitor#
