,사업장명,사업장명add,업종구분대분류,업종구분소분류,주소,naver_map_url
961,조박사,조박사제주특별자치도 제주시 다랑곶길 10 (노형동,일반음식점,횟집,제주특별자치도 제주시 다랑곶길 10 (노형동,https://pcmap.place.naver.com/restaurant/17002388/review/visitor#
962,화사랑,화사랑제주특별자치도 제주시 서광로32길 10 (이도이동),일반음식점,한식,제주특별자치도 제주시 서광로32길 10 (이도이동),https://pcmap.place.naver.com/restaurant/16715190/review/visitor#
964,한양뼈감탕,한양뼈감탕제주특별자치도 제주시 애월읍 하귀로 38,일반음식점,한식,제주특별자치도 제주시 애월읍 하귀로 38,https://pcmap.place.naver.com/restaurant/16876089/review/visitor#
967,미식가,미식가제주특별자치도 제주시 한경면 노을해안로 1146,일반음식점,한식,제주특별자치도 제주시 한경면 노을해안로 1146,https://pcmap.place.naver.com/restaurant/17038917/review/visitor#
968,골목집갈비,골목집갈비제주특별자치도 제주시 서사로18길 19 (삼도일동),일반음식점,한식,제주특별자치도 제주시 서사로18길 19 (삼도일동),https://pcmap.place.naver.com/restaurant/1100490051/review/visitor#
970,어장군,어장군제주특별자치도 제주시 신대로 72 (연동),일반음식점,한식,제주특별자치도 제주시 신대로 72 (연동),https://pcmap.place.naver.com/restaurant/11718476/review/visitor#
972,닭바리,닭바리제주특별자치도 제주시 서광로32길 17 (이도이동),일반음식점,한식,제주특별자치도 제주시 서광로32길 17 (이도이동),https://pcmap.place.naver.com/restaurant/1128006278/review/visitor#
973,삼무국수,삼무국수제주특별자치도 제주시 삼무로3길 46-1,일반음식점,한식,제주특별자치도 제주시 삼무로3길 46-1,https://pcmap.place.naver.com/restaurant/16855821/review/visitor#
974,피자마을앤파닭,피자마을앤파닭제주특별자치도 제주시 성신로2길 10,일반음식점,패스트푸드,제주특별자치도 제주시 성신로2길 10,https://pcmap.place.naver.com/restaurant/13564845/review/visitor#
975,비비큐용담점,비비큐용담점제주특별자치도 제주시 용담로 92 (용담이동),일반음식점,한식,제주특별자치도 제주시 용담로 92 (용담이동),https://pcmap.place.naver.com/restaurant/11799559/review/visitor#
976,연동길,연동길제주특별자치도 제주시 은남2길 23 (연동,일반음식점,한식,제주특별자치도 제주시 은남2길 23 (연동,https://pcmap.place.naver.com/restaurant/16855956/review/visitor#
977,명품대구막창,명품대구막창제주특별자치도 제주시 연동8길 4 (연동),일반음식점,식육(숯불구이),제주특별자치도 제주시 연동8길 4 (연동),https://pcmap.place.naver.com/restaurant/1898306455/review/visitor#
980,진진,진진제주특별자치도 제주시 선덕로5길 19 (연동),일반음식점,한식,제주특별자치도 제주시 선덕로5길 19 (연동),https://pcmap.place.naver.com/restaurant/38709857/review/visitor#
981,원우정,원우정제주특별자치도 제주시 다랑곶1길 6 (노형동,일반음식점,한식,제주특별자치도 제주시 다랑곶1길 6 (노형동,https://pcmap.place.naver.com/restaurant/13122883/review/visitor#
983,동화네동태찌게,동화네동태찌게제주특별자치도 제주시 광양1길 20,일반음식점,한식,제주특별자치도 제주시 광양1길 20,https://pcmap.place.naver.com/restaurant/1772758239/review/visitor#
984,부가네얼큰이삼무점,부가네얼큰이삼무점제주특별자치도 제주시 삼무로1길 6,일반음식점,통닭(치킨),제주특별자치도 제주시 삼무로1길 6,https://pcmap.place.naver.com/restaurant/11670061/review/visitor#
985,올리브와뽀빠이,올리브와뽀빠이제주특별자치도 제주시 신광로 32-1 (연동,일반음식점,한식,제주특별자치도 제주시 신광로 32-1 (연동,https://pcmap.place.naver.com/restaurant/16837978/review/visitor#
987,칼호텔뷔페식당,칼호텔뷔페식당제주특별자치도 제주시 중앙로 151 (이도일동),일반음식점,뷔페식,제주특별자치도 제주시 중앙로 151 (이도일동),https://pcmap.place.naver.com/restaurant/32839373/review/visitor#
988,달빛해녀촌횟집,달빛해녀촌횟집제주특별자치도 제주시 애월읍 애월해안로 270,일반음식점,한식,제주특별자치도 제주시 애월읍 애월해안로 270,https://pcmap.place.naver.com/restaurant/1223731680/review/visitor#
992,팝콘,팝콘제주특별자치도 제주시 연동11길 30,일반음식점,까페,제주특별자치도 제주시 연동11길 30,https://pcmap.place.naver.com/restaurant/1334255247/review/visitor#
993,도남오거리도남점,도남오거리도남점제주특별자치도 제주시 도남로6길 16,일반음식점,식육(숯불구이),제주특별자치도 제주시 도남로6길 16,https://pcmap.place.naver.com/restaurant/13444838/review/visitor#
994,카페힐스,카페힐스제주특별자치도 제주시 추자면 신양4길 18,일반음식점,기타,제주특별자치도 제주시 추자면 신양4길 18,https://pcmap.place.naver.com/restaurant/1559383678/review/visitor#
995,돈마니,돈마니제주특별자치도 제주시 월랑로10길 33,일반음식점,기타,제주특별자치도 제주시 월랑로10길 33,https://pcmap.place.naver.com/restaurant/1068108805/review/visitor#
997,크레베떼,크레베떼제주특별자치도 제주시 조천읍 함덕로 28,일반음식점,기타,제주특별자치도 제주시 조천읍 함덕로 28,https://pcmap.place.naver.com/restaurant/1039634629/review/visitor#
999,쉼터,쉼터제주특별자치도 제주시 고마로15길 4 (일도이동,일반음식점,호프/통닭,제주특별자치도 제주시 고마로15길 4 (일도이동,https://pcmap.place.naver.com/restaurant/16692436/review/visitor#
1000,베스트프렌드,베스트프렌드제주특별자치도 제주시 천수로 68,일반음식점,호프/통닭,제주특별자치도 제주시 천수로 68,https://pcmap.place.naver.com/restaurant/32151216/review/visitor#
1001,(주)삼다도횟집,(주)삼다도횟집제주특별자치도 제주시 서해안로 572 (용담삼동),일반음식점,회집,제주특별자치도 제주시 서해안로 572 (용담삼동),https://pcmap.place.naver.com/restaurant/12883219/review/visitor#
1003,현미,현미제주특별자치도 제주시 월대6길 17 (외도이동,일반음식점,한식,제주특별자치도 제주시 월대6길 17 (외도이동,https://pcmap.place.naver.com/restaurant/37577180/review/visitor#
1006,조근아지망,조근아지망제주특별자치도 제주시 우정로 2 (외도일동),일반음식점,한식,제주특별자치도 제주시 우정로 2 (외도일동),https://pcmap.place.naver.com/restaurant/16874968/review/visitor#
1007,오름해산물,오름해산물제주특별자치도 제주시 국기로2길 2-5 (연동),일반음식점,한식,제주특별자치도 제주시 국기로2길 2-5 (연동),https://pcmap.place.naver.com/restaurant/345750987/review/visitor#
1009,일도촌,일도촌제주특별자치도 제주시 천수로8길 7,일반음식점,탕류(보신용),제주특별자치도 제주시 천수로8길 7,https://pcmap.place.naver.com/restaurant/16695080/review/visitor#
1011,여가,여가제주특별자치도 제주시 서광로32길 26,일반음식점,한식,제주특별자치도 제주시 서광로32길 26,https://pcmap.place.naver.com/restaurant/1402688479/review/visitor#
1013,아바이순대,아바이순대제주특별자치도 제주시 도남로16길 17 (도남동,일반음식점,한식,제주특별자치도 제주시 도남로16길 17 (도남동,https://pcmap.place.naver.com/restaurant/16816433/review/visitor#
